amazon link,creator,format,retail price,title
B000RZCZYW,,Paperback,,My Favourites in Suspense Part Two
0340751754,Brian Herbert Kevin J. Anderson,Paperback,£9.99,House Atreides (Prelude to Dune)
0340769084,Brian Herbert Kevin J. Anderson,Paperback,£9.99,House Harkonnen (Prelude to Dune S.)
0340771151,Brian Herbert Kevin J. Anderson,Paperback,£10.99,Prelude to Dune: House Corrino
0743220455,Kevin J. Anderson,Paperback,£10.99,Hidden Empire (Saga of Seven Suns)
0743461215,Kevin J. Anderson,Paperback,£10.99,A Forest of Stars (Saga of Seven Suns)
0743430670,Kevin J. Anderson,Paperback,£7.99,Horizon Storms (Saga of Seven Suns)
1416502904,Kevin J. Anderson,Paperback,£7.99,Scattered Suns (Saga of Seven Suns 4)
074327542X,Kevin J. Anderson,Paperback,£12.99,Of Fire and Night (Saga of Seven Suns 5)
0743275438,Kevin J. Anderson,Paperback,£12.99,Metal Swarm
1847370799,Kevin J. Anderson,Paperback,£12.99,The Ashes of Worlds
0340837519,Brian Herbert  Kevin J. Anderson;,Paperback,£12.99,Sandworms of Dune
0575048417,Isaac Asimov,Hardcover,£12.95,Robot Visions
057119771X,Tom Baker,Hardcover,£12.99,The Boy Who Kicked Pigs
0349119279,Iain Banks,Paperback,£7.99,Transition
1857231384,Iain M. Banks,Paperback,£7.99,Consider Phlebas (The Culture)
1857231465,Iain M. Banks,Paperback,£7.99,The Player of Games
1857231791,Iain M. Banks,Paperback,£7.99,Against a Dark Background
1857232739,Iain M. Banks,Paperback,£7.99,Feersum Endjinn
185723457X,Iain M. Banks,Paperback,£7.99,Excession
1857237633,Iain M. Banks,Paperback,£7.99,Inversions
1841490598,Iain M. Banks,Paperback,£7.99,Look to Windward
1841492299,Iain M. Banks,Paperback,£8.99,The Algebraist
1841494194,Iain M. Banks,Paperback,£7.99,Matter
1857237366,Greg Bear,Paperback,£6.99,Foundation and Chaos (Second Foundation Trilogy)
1857235630,Gregory Benford,Paperback,£6.99,Foundation's Fear (Second Foundation Trilogy)
1857233328,Alexander Besher,Paperback,CDN$ 15.67,RIM
1857237226,Alexander Besher,Paperback,£5.99,MIR
0753515032,Sir Richard Branson,Paperback,£7.99,Business Stripped Bare: Adventures of a Global Entrepreneur
1841490008,David Brin,Paperback,£6.99,Foundation's Triumph (Second Foundation Trilogy)
0552150738,Dan Brown,Paperback,£7.99,Angels And Demons
0552149527,Dan Brown,Paperback,£7.99,The Lost Symbol
